Site,cm from start,Metres from the start (A),Environmental Quality Score,Pflow
A,0.0,0,18,248
A2,3.1,93,17,190
B,5.0,150,18,104
C,8.2,246,20,54
D,12.0,360,19,35
E,15.2,456,18,45
F,19.0,570,16,6
G,22.5,675,10,40
H,26.5,795,11,14
I,31.2,936,12,10
J,35.5,1065,15,3
K,41.5,1245,13,8
